"Issue Type,Epic Name,Summary,Description,Priority,Labels,Component,Acceptance Criteria"
"Epic,MCP Server - LLM Visibility Platform,MCP Server - LLM Visibility Platform,""AWS-hosted Model Context Protocol (MCP) server that reinforces Radisson's visibility to LLMs by securely exposing hotel discovery, booking, loyalty and meetings data as callable tools/resources. Covers infrastructure, security and four data domains. Coordinates with existing NEWWEB GEO/Schema work (NEWWEB-117470)."",Highest,MCP;LLM-Visibility;GEO,Platform,""Epic delivered when all child stories are Done and MCP server is live and discoverable by major LLM platforms."""
"Story,MCP Server - LLM Visibility Platform,AWS Hosting & Deployment Foundation,""Establish the AWS hosting foundation for the MCP server (serverless/containerised compute, multi-AZ resilience, auto-scaling), defined as Infrastructure-as-Code with an automated CI/CD pipeline and dev/staging/prod parity."",Highest,MCP;Infrastructure;AWS,Platform,""- MCP server runs on AWS with multi-AZ resilience and auto-scaling - All infrastructure defined as code - Automated deploy pipeline with rollback - Standard MCP transport (JSON-RPC 2.0 over HTTPS) operational"""
"Story,MCP Server - LLM Visibility Platform,Authentication & Access Control,""Secure all MCP endpoints with modern authentication (OAuth 2.1) and per-request identity, integrated with corporate SSO. Define governance for which tools are exposed to which agents and with what permissions."",Highest,MCP;Security;Auth,Platform,""- All endpoints require valid authentication with short-lived tokens - Per-request identity enforced - SSO integration in place - Tool exposure & permission governance documented and applied"""
"Story,MCP Server - LLM Visibility Platform,Security, Privacy & Observability,""Ensure a zero-trust security posture: PII tokenisation for guest data shared with public LLMs, protection against tool poisoning and prompt injection, full audit logging of every tool call, and monitoring dashboards."",Highest,MCP;Security;Privacy;Observability,Platform,""- Guest PII tokenised on all outbound LLM responses - Hardening controls validated (no critical vulnerabilities) - Every tool invocation logged with identity/args/timestamp/status - Monitoring dashboard live (volume, latency, errors)"""
"Story,MCP Server - LLM Visibility Platform,Hotel Search Tool,""Expose a natural-language hotel search tool (search_hotels) allowing LLMs to find hotels by destination, amenity, brand, price range and traveler type. Grounded in the Smart Search engine."",Highest,MCP;Discovery;SmartSearch,Discovery,""- LLM can invoke search_hotels with natural language - Returns relevant hotels with structured data - Results grounded in Smart Search / SSOT"""
"Story,MCP Server - LLM Visibility Platform,Destination Search Resource,""Expose a destination search resource (search_destinations) returning destination guides with country/city/area hierarchy. Aligns with TouristDestination entity work (links NEWWEB-117384)."",High,MCP;Discovery;GEO,Discovery,""- Returns destination data with hierarchy - Aligned with TouristDestination schema - Schema.org compliant output"""
"Story,MCP Server - LLM Visibility Platform,Hotel Detail Resource,""Expose a hotel detail resource (hotel://{sita_code}) returning the full hotel profile from SSOT: location, amenities, POIs, accessibility, images, policies and restaurants."",Highest,MCP;Discovery;SSOT,Discovery,""- Returns complete hotel profile grounded in SSOT - All key fields populated - Includes last_updated timestamp"""
"Story,MCP Server - LLM Visibility Platform,Hotel Services Resource,""Expose a hotel services resource (hotel_services://{sita_code}) listing services per property (spa, parking, pet-friendly, breakfast types, F&B), sourced from SSOT."",High,MCP;Discovery;SSOT,Discovery,""- Returns service list per hotel - Data matches SSOT - Filterable by service category"""
"Story,MCP Server - LLM Visibility Platform,Smart Search Scenarios Library,""Expose the validated Smart Search scenarios (pet-friendly, sea view, yoga retreats, ski, cultural festivals, etc.) as reusable MCP prompt templates."",Medium,MCP;Discovery;SmartSearch,Discovery,""- 25+ scenarios available as MCP prompts - Each returns relevant hotel results"""
"Story,MCP Server - LLM Visibility Platform,Availability Tool,""Expose a real-time availability tool (check_availability) returning room availability and rates via the ARI engine, with a caching strategy to minimise ARI load."",Highest,MCP;Commerce;ARI,Commerce,""- Returns accurate availability for dates/guests/hotel - Response time within target - Cache hit ratio tracked"""
"Story,MCP Server - LLM Visibility Platform,Rates & Pricing Resource,""Expose a rates resource (get_rates) structured per Pricing 2.0 (Prepaid base, Flexibility plan, Meal plan, Packages), including points-based rates for Rewards members."",Highest,MCP;Commerce;Pricing,Commerce,""- Rates match Pricing 2.0 structure - Member rates included when authenticated"""
"Story,MCP Server - LLM Visibility Platform,Room Detail Resource,""Expose a room detail resource (room://{hotel_id}/{room_type}) with room type, attributes (view, size, floor), images and amenities, supporting attribute-based selling."",High,MCP;Commerce;SSOT,Commerce,""- Returns room data from SSOT - Images included - Attributes structured for LLM parsing"""
"Story,MCP Server - LLM Visibility Platform,Deals & Offers Resource,""Expose a deals resource (get_deals) returning current offers per hotel, filterable by type (seasonal, member-exclusive, packages)."",High,MCP;Commerce,Commerce,""- Returns active deals only - Filterable by type - Sourced from CMS + SSOT"""
"Story,MCP Server - LLM Visibility Platform,Booking Orchestration Governance,""Ensure LLMs never call backend systems directly. An orchestrator validates fields, applies business rules and handles idempotency, logging, error handling and escalation for transactional actions."",Highest,MCP;Commerce;Governance,Commerce,""- No direct LLM-to-backend calls possible - All transactions routed via orchestrator - Full audit trail on transactions"""
"Story,MCP Server - LLM Visibility Platform,Rewards Program Info Tool,""Expose a rewards info tool (rewards_info) returning tier benefits (Club, Premium, VIP), earn/burn rates, member discounts and free breakfast eligibility."",High,MCP;Loyalty;Rewards,Guest Experience,""- Returns accurate tier info - Benefits match current Radisson Rewards program"""
"Story,MCP Server - LLM Visibility Platform,Rewards Tiers & Points Resource,""Expose a rewards tiers resource (rewards_tiers) with points context, tier requirements, pay-with-points rules and the fixed-points redemption model."",High,MCP;Loyalty;Rewards,Guest Experience,""- Returns tier structure - Redemption rules accurate - Pay-with-points info included when live"""
"Story,MCP Server - LLM Visibility Platform,Online Check-In Info Resource,""Expose an OCICO resource (check_in_info://{hotel_id}) with online check-in availability, country-specific registration requirements, digital key and kiosk availability."",High,MCP;Loyalty;OCICO,Guest Experience,""- Returns OCICO status per hotel - Country-specific requirements accurate - Digital key status included"""
"Story,MCP Server - LLM Visibility Platform,Upsell Options Resource,""Expose an upsell resource (upsell_options://{hotel_id}) with available upsells (room upgrade, breakfast, early CI/late CO, parking, spa, F&B, experiences) from EMMA Stay Options."",Medium,MCP;Loyalty;Upsell,Guest Experience,""- Returns available upsells per hotel - Prices included where available"""
"Story,MCP Server - LLM Visibility Platform,Guest Journey Context Resource,""Expose a guest journey resource (guest_journey://{reservation_id}) returning the current journey stage (pre-arrival to check-out) and available actions per stage."",Medium,MCP;Loyalty,Guest Experience,""- Returns current journey stage and available actions - Data from EMMA + TMS"""
"Story,MCP Server - LLM Visibility Platform,Meeting Spaces Resource,""Expose a meeting spaces resource (meeting_spaces://{hotel_id}) with room names, capacity charts, AV equipment and configurations. Links to M&E FAQ work (NEWWEB-117514/117509)."",Medium,MCP;MICE,Meetings & Events,""- Returns all M&E spaces per hotel - Capacity shown by configuration (theater/classroom/boardroom/U-shape)"""
"Story,MCP Server - LLM Visibility Platform,Meeting Venue Search Tool,""Expose a venue search tool (search_meeting_venues) to find hotels with M&E capabilities by destination, capacity and configuration, with multi-day and multi-room support."",Medium,MCP;MICE,Meetings & Events,""- Returns venues matching criteria - Supports multi-day queries - Sourced from OMEBT"""
"Story,MCP Server - LLM Visibility Platform,Meeting Packages Resource,""Expose a meeting packages resource (meeting_packages) with Day Delegate Rates, packages and curated local experiences."",Low,MCP;MICE,Meetings & Events,""- Returns package options per hotel - DDR pricing included"""
"Story,MCP Server - LLM Visibility Platform,RFP Request Tool,""Expose an RFP tool (request_proposal) to trigger an M&E proposal request, returning confirmation and expected response timeline."",Low,MCP;MICE,Meetings & Events,""- Successfully triggers RFP flow in OMEBT - Confirmation returned to LLM"""
"Story,MCP Server - LLM Visibility Platform,Brand Meeting Standards Resource,""Expose a brand meeting standards resource (brand_standards://{brand}/meetings) with per-brand M&E requirements (toolbox, AV specs, curated experiences, carbon compensation)."",Low,MCP;MICE;Brand,Meetings & Events,""- Returns brand-specific M&E standards - Accurate per brand"""